season_label,driver,year,races,wins,podiums,poles,fastest_laps,points,points_max_per_race,dnfs
Verstappen 2023,Max Verstappen,2023,22,19,21,12,9,575,26,0
Hamilton 2020,Lewis Hamilton,2020,16,11,14,10,6,347,26,0
Vettel 2013,Sebastian Vettel,2013,19,13,16,9,7,397,26,1
Schumacher 2004,Michael Schumacher,2004,18,13,15,8,10,148,10,1
Senna 1988,Ayrton Senna,1988,16,8,11,13,3,94,9,3
Clark 1963,Jim Clark,1963,10,7,7,7,6,73,9,3
Ascari 1952,Alberto Ascari,1952,6,6,6,5,5,53.5,9,0
